Model,runs,test_auc_mean,test_auc_std,test_auc_ci_low_mean,test_auc_ci_high_mean,test_acc_mean,test_f1_mean,test_prec_mean,test_recall_mean,AUC_with_CI
MLP,3,0.53,0.003,0.516,0.543,0.611,0.671,0.82,0.611,0.530 ± 0.003 (CI 0.516–0.543)
QDA,3,0.508,0.001,0.483,0.534,0.602,0.683,0.83,0.602,0.508 ± 0.001 (CI 0.483–0.534)
RandomForest,3,0.505,0.002,0.458,0.552,0.599,0.673,0.826,0.599,0.505 ± 0.002 (CI 0.458–0.552)
ExtraTrees,3,0.503,0.005,0.455,0.55,0.585,0.665,0.828,0.585,0.503 ± 0.005 (CI 0.455–0.550)
Voting,3,0.501,0.014,0.471,0.531,0.584,0.661,0.822,0.584,0.501 ± 0.014 (CI 0.471–0.531)
Stacking,3,0.501,0.013,0.473,0.53,0.61,0.675,0.825,0.61,0.501 ± 0.013 (CI 0.473–0.530)
CatBoost,3,0.497,0.004,0.445,0.548,0.651,0.673,0.821,0.651,0.497 ± 0.004 (CI 0.445–0.548)
DecisionTree,3,0.497,0.003,0.462,0.533,0.49,0.582,0.815,0.49,0.497 ± 0.003 (CI 0.462–0.533)
AdaBoost,3,0.493,0.004,0.443,0.542,0.508,0.602,0.818,0.508,0.493 ± 0.004 (CI 0.443–0.542)
HistGradientBoosting,3,0.491,0.003,0.438,0.543,0.629,0.668,0.812,0.629,0.491 ± 0.003 (CI 0.438–0.543)
GradientBoosting,3,0.487,0.005,0.439,0.536,0.639,0.67,0.814,0.639,0.487 ± 0.005 (CI 0.439–0.536)
RBF_SVM,3,0.487,0.003,0.46,0.514,0.607,0.676,0.813,0.607,0.487 ± 0.003 (CI 0.460–0.514)
NaiveBayes,3,0.484,0.001,0.442,0.526,0.516,0.609,0.816,0.516,0.484 ± 0.001 (CI 0.442–0.526)
KNN,3,0.475,0.003,0.46,0.49,0.452,0.54,0.804,0.452,0.475 ± 0.003 (CI 0.460–0.490)
LogisticRegression,3,0.472,0.003,0.434,0.511,0.526,0.616,0.806,0.526,0.472 ± 0.003 (CI 0.434–0.511)
Linear_SVM,3,0.471,0.004,0.437,0.504,0.498,0.585,0.814,0.498,0.471 ± 0.004 (CI 0.437–0.504)
